arch_seq,id,objective,elapsed_sec,duration
"[72, 0, 1, 143, 4, 1, 0, 65, 4, 0, 1, 0, 35, 3, 1, 1, 1, 0, 143, 3, 1, 0, 1, 1, 107, 9, 0, 0, 1, 0, 2, 6, 0, 0, 1, 1]",78,0.33621931076049805,41147.03769779205,12333.558275699615
"[9, 10, 1, 30, 3, 0, 0, 159, 3, 0, 0, 1, 134, 7, 1, 1, 1, 0, 82, 7, 1, 0, 0, 1, 40, 10, 1, 1, 1, 1, 167, 0, 1, 0, 1, 1]",45,0.3559402823448181,41189.94330430031,37887.539101839066
"[60, 8, 0, 60, 3, 1, 0, 92, 5, 1, 1, 1, 118, 9, 0, 0, 0, 1, 165, 3, 1, 1, 1, 1, 110, 4, 1, 1, 1, 1, 38, 2, 1, 1, 1, 0]",76,0.5393869280815125,41293.792714595795,12718.73442530632
"[84, 7, 1, 31, 7, 1, 0, 148, 2, 1, 0, 1, 123, 2, 0, 1, 1, 0, 153, 10, 0, 0, 1, 0, 113, 6, 1, 1, 1, 0, 168, 2, 1, 0, 1, 0]",46,0.38036417961120605,42120.62061691284,34003.83327794075
"[14, 5, 1, 41, 7, 1, 0, 149, 6, 0, 1, 1, 144, 3, 0, 0, 0, 1, 161, 2, 1, 1, 1, 0, 143, 0, 0, 0, 0, 0, 98, 8, 0, 0, 1, 1]",53,0.3533793091773987,42374.961502075195,24858.56977534294
"[9, 5, 0, 130, 10, 1, 0, 122, 1, 1, 0, 0, 131, 2, 1, 0, 1, 0, 44, 0, 1, 0, 0, 0, 80, 9, 0, 0, 1, 1, 9, 3, 1, 0, 1, 0]",71,0.25833749771118164,42729.86294412613,16349.830911636353
"[18, 10, 1, 159, 7, 0, 0, 156, 7, 1, 0, 1, 169, 8, 1, 0, 1, 0, 69, 10, 0, 0, 1, 0, 146, 6, 1, 1, 0, 1, 88, 4, 1, 0, 1, 1]",91,1.991697907447815,42765.244092941284,6331.151972293854
"[90, 3, 0, 77, 3, 1, 1, 0, 9, 1, 0, 0, 51, 3, 0, 0, 0, 1, 124, 9, 0, 1, 1, 0, 86, 10, 1, 1, 0, 1, 155, 10, 0, 0, 0, 0]",90,0.7582643032073975,44461.250544309616,8928.015872240067
"[21, 8, 1, 99, 4, 0, 0, 144, 10, 1, 0, 0, 25, 6, 0, 0, 0, 1, 4, 1, 1, 1, 1, 1, 17, 8, 1, 1, 0, 0, 98, 5, 1, 1, 1, 0]",81,0.3179818093776703,45140.408373594284,13595.539769172668
"[28, 8, 1, 14, 10, 0, 1, 64, 8, 0, 0, 0, 163, 0, 1, 1, 1, 0, 167, 2, 0, 1, 0, 1, 40, 8, 1, 1, 1, 1, 108, 5, 1, 0, 0, 0]",75,0.7355926632881165,45363.39193749428,17048.311284542084
"[127, 8, 0, 143, 3, 0, 0, 145, 0, 0, 1, 0, 21, 1, 1, 0, 0, 0, 79, 7, 1, 0, 0, 0, 142, 7, 0, 1, 0, 1, 56, 0, 1, 0, 0, 0]",80,0.24217306077480316,46150.634536504745,15778.203894376755
"[82, 1, 0, 47, 0, 1, 0, 63, 4, 0, 1, 0, 80, 1, 0, 1, 1, 0, 124, 1, 1, 1, 1, 1, 69, 8, 0, 0, 1, 0, 55, 1, 1, 0, 1, 1]",49,0.328415185213089,46790.29620242119,32727.05317378044
"[51, 8, 0, 144, 1, 0, 1, 53, 8, 1, 1, 0, 93, 6, 1, 0, 1, 0, 43, 2, 1, 1, 0, 0, 132, 3, 0, 1, 0, 0, 136, 4, 1, 1, 0, 1]",97,1.5837734937667847,46844.27397418022,6516.545439481735
"[45, 4, 0, 114, 2, 1, 0, 118, 9, 0, 0, 0, 68, 9, 1, 0, 0, 1, 133, 2, 1, 0, 0, 1, 131, 2, 0, 0, 0, 0, 85, 3, 0, 1, 1, 1]",74,0.3889791965484619,47032.87008500099,19215.57181954384
"[135, 5, 1, 122, 6, 1, 0, 91, 0, 0, 0, 1, 37, 8, 0, 0, 1, 1, 95, 9, 1, 0, 0, 0, 8, 7, 1, 1, 1, 1, 157, 9, 1, 1, 0, 0]",58,0.2808181941509247,47638.91714978218,28397.241940498352
"[109, 3, 0, 49, 6, 1, 1, 84, 4, 1, 1, 0, 7, 8, 0, 1, 0, 0, 26, 4, 1, 1, 1, 1, 65, 4, 0, 1, 0, 1, 136, 0, 0, 1, 0, 1]",59,0.1724180430173874,48366.21158647537,28601.384880065918
"[102, 7, 0, 139, 4, 0, 1, 18, 2, 0, 1, 0, 18, 5, 0, 1, 0, 0, 18, 2, 1, 1, 1, 1, 92, 2, 0, 0, 0, 1, 43, 7, 1, 0, 0, 1]",113,2.4959752559661865,48649.923892498016,1011.0041732788086
"[174, 7, 0, 132, 5, 0, 0, 45, 2, 0, 1, 0, 77, 1, 1, 1, 0, 0, 76, 4, 0, 0, 1, 0, 88, 1, 1, 1, 1, 0, 32, 5, 0, 0, 1, 1]",43,0.13205568492412567,49013.15329170227,47792.11725664139
"[168, 3, 0, 38, 1, 1, 0, 158, 6, 0, 0, 1, 19, 3, 0, 1, 0, 0, 66, 5, 1, 1, 1, 0, 145, 10, 1, 1, 0, 1, 12, 9, 0, 1, 1, 0]",61,0.25047555565834045,49701.97986316681,29158.680472135544
"[11, 6, 1, 10, 5, 0, 1, 3, 4, 1, 0, 0, 116, 7, 0, 0, 0, 1, 61, 4, 0, 0, 1, 0, 60, 7, 1, 1, 0, 1, 8, 1, 1, 1, 0, 0]",67,0.22272302210330963,49818.27781701088,24224.93665599823
"[76, 5, 1, 47, 10, 0, 1, 128, 1, 0, 0, 1, 43, 10, 1, 0, 0, 0, 122, 2, 1, 0, 1, 1, 111, 8, 0, 0, 1, 1, 8, 9, 1, 0, 0, 0]",106,1.4662386178970337,50502.46394944191,6041.210491895676
"[113, 7, 1, 175, 2, 1, 1, 131, 3, 0, 0, 1, 126, 5, 0, 1, 1, 1, 176, 2, 0, 1, 0, 1, 159, 7, 0, 0, 1, 0, 153, 5, 0, 1, 0, 0]",77,0.3739526569843292,51316.099885225296,22586.85385465622
"[22, 2, 1, 84, 4, 1, 1, 109, 7, 0, 1, 0, 76, 1, 1, 1, 1, 1, 156, 2, 0, 0, 1, 0, 60, 4, 1, 1, 0, 1, 132, 5, 1, 0, 0, 1]",89,0.1959223598241806,51517.40230846405,17523.477497577667
"[48, 3, 0, 146, 4, 1, 0, 123, 1, 0, 0, 0, 143, 5, 0, 0, 1, 1, 53, 3, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 70, 5, 0, 0, 1, 1]",50,0.1678982824087143,52207.984962940216,37278.53020238876
"[111, 5, 0, 163, 9, 1, 1, 89, 8, 0, 0, 0, 171, 10, 1, 0, 1, 0, 141, 0, 0, 0, 1, 0, 36, 0, 1, 1, 0, 1, 73, 10, 0, 1, 0, 1]",68,0.20631511509418488,52212.17777466774,26510.77993440628
"[157, 9, 0, 108, 9, 0, 0, 142, 9, 1, 0, 1, 149, 3, 0, 1, 1, 1, 5, 4, 0, 0, 0, 1, 87, 8, 1, 1, 1, 0, 104, 2, 1, 0, 1, 0]",121,2.4946839809417725,53470.1492497921,1952.7446613311768
"[116, 4, 1, 167, 8, 1, 0, 28, 4, 1, 0, 0, 116, 0, 0, 1, 0, 0, 37, 2, 0, 1, 0, 1, 164, 3, 0, 1, 0, 1, 56, 9, 0, 0, 1, 1]",101,0.19565901160240173,53568.21315360069,12274.418000936508
"[6, 4, 0, 76, 3, 0, 1, 141, 4, 0, 1, 1, 73, 1, 0, 0, 1, 0, 128, 7, 0, 1, 0, 1, 2, 3, 0, 0, 1, 1, 44, 8, 0, 1, 1, 0]",88,0.26700523495674133,53716.30242943764,19790.962936639786
"[41, 9, 0, 10, 5, 1, 1, 172, 7, 1, 0, 1, 34, 3, 1, 0, 1, 0, 33, 4, 1, 0, 1, 0, 145, 3, 1, 0, 1, 0, 106, 3, 0, 1, 0, 1]",84,0.5154010057449341,53919.25017976761,21735.74104833603
"[62, 7, 0, 9, 10, 0, 1, 120, 9, 0, 0, 0, 80, 7, 1, 1, 1, 0, 171, 3, 0, 0, 1, 0, 105, 0, 0, 1, 0, 0, 137, 4, 0, 0, 1, 1]",66,0.5124655961990356,54191.328779459,29929.060396432877
"[2, 6, 1, 8, 10, 0, 1, 42, 10, 1, 1, 0, 161, 3, 0, 0, 0, 1, 74, 6, 0, 0, 1, 1, 32, 5, 1, 0, 0, 1, 86, 8, 0, 0, 0, 1]",86,0.2920999526977539,54490.827273607254,21228.227920770645
"[49, 8, 0, 110, 4, 1, 1, 93, 9, 1, 0, 0, 176, 6, 1, 1, 1, 1, 32, 7, 1, 0, 1, 1, 20, 2, 0, 0, 1, 1, 59, 9, 1, 0, 0, 1]",103,0.24142567813396454,55524.53131580353,13149.566843986511
"[88, 3, 0, 56, 1, 1, 0, 57, 9, 0, 1, 0, 89, 4, 0, 0, 0, 0, 43, 7, 1, 0, 0, 0, 86, 3, 1, 0, 1, 1, 64, 1, 0, 0, 1, 1]",107,0.2673611342906952,55961.86474967003,10821.453490972519
"[17, 10, 1, 62, 0, 0, 1, 176, 5, 0, 1, 0, 24, 5, 0, 0, 0, 1, 8, 3, 1, 0, 1, 0, 46, 6, 1, 0, 1, 1, 25, 2, 1, 1, 0, 1]",99,0.3622032701969147,56657.88375210762,15510.842890501022
"[106, 0, 1, 68, 8, 0, 1, 157, 9, 1, 1, 0, 32, 2, 1, 1, 0, 0, 89, 2, 1, 1, 0, 0, 158, 6, 1, 1, 0, 0, 23, 2, 1, 1, 0, 1]",93,0.5115503072738647,56739.93492817879,18828.049011945724
"[79, 7, 1, 7, 7, 0, 0, 171, 8, 1, 1, 1, 152, 10, 0, 1, 0, 0, 117, 7, 0, 1, 1, 0, 163, 3, 0, 1, 1, 1, 25, 3, 0, 1, 1, 0]",63,0.4353305399417877,58042.153254032135,35484.46417140961
"[158, 9, 0, 85, 7, 0, 1, 11, 4, 0, 0, 0, 103, 4, 1, 1, 1, 1, 91, 10, 1, 1, 1, 1, 68, 6, 0, 1, 1, 1, 30, 0, 1, 0, 1, 1]",102,0.27634260058403015,58100.12959313393,15979.50660777092
"[65, 10, 1, 107, 2, 1, 1, 166, 8, 0, 0, 0, 42, 5, 0, 1, 0, 0, 137, 5, 1, 0, 0, 0, 22, 3, 0, 1, 0, 0, 70, 4, 1, 0, 1, 1]",62,0.1758384257555008,58532.596855163574,36614.411235809326
"[84, 7, 1, 57, 7, 1, 1, 161, 1, 1, 0, 0, 127, 1, 1, 0, 1, 0, 38, 6, 1, 1, 0, 0, 36, 6, 1, 0, 0, 0, 78, 3, 0, 0, 1, 1]",85,0.3347151279449463,59423.11151313782,26881.187478780746
"[74, 7, 1, 120, 6, 0, 1, 78, 9, 0, 0, 0, 50, 7, 0, 1, 1, 0, 40, 8, 0, 1, 0, 1, 123, 1, 0, 0, 0, 0, 111, 1, 1, 0, 0, 0]",94,0.374599426984787,60430.38665890694,21610.856157779694
"[155, 8, 0, 20, 7, 0, 1, 17, 0, 1, 1, 0, 28, 7, 1, 1, 0, 0, 31, 2, 0, 1, 1, 1, 106, 9, 0, 0, 0, 0, 86, 6, 0, 1, 1, 1]",114,0.27800142765045166,61360.516932964325,12994.302127361298
"[150, 3, 1, 67, 1, 0, 0, 36, 7, 0, 1, 1, 51, 2, 0, 1, 0, 0, 126, 4, 1, 0, 1, 0, 47, 5, 1, 0, 0, 1, 94, 0, 0, 0, 1, 0]",72,0.1763140708208084,61429.78501701355,35040.13948845863
"[5, 10, 1, 170, 4, 0, 1, 75, 5, 1, 1, 1, 124, 4, 1, 1, 0, 0, 25, 5, 0, 0, 0, 0, 154, 9, 0, 1, 1, 0, 31, 6, 0, 1, 1, 0]",110,0.31838762760162354,62506.653723716736,15716.35487985611
